alim_grp_code	alim_ssgrp_code	alim_ssssgrp_code	alim_grp_nom_fr	alim_ssgrp_nom_fr	alim_ssssgrp_nom_fr	alim_code	alim_nom_fr	alim_nom_sci	Energie, Règlement UE N° 1169/2011 (kJ/100 g)	Energie, Règlement UE N° 1169/2011 (kcal/100 g)	Energie, N x facteur Jones, avec fibres  (kJ/100 g)	Energie, N x facteur Jones, avec fibres  (kcal/100 g)	Eau (g/100 g)	Protéines, N x facteur de Jones (g/100 g)	Protéines, N x 6.25 (g/100 g)	Glucides (g/100 g)	Lipides (g/100 g)	Sucres (g/100 g)	Fructose (g/100 g)	Galactose (g/100 g)	Glucose (g/100 g)	Lactose (g/100 g)	Maltose (g/100 g)	Saccharose (g/100 g)	Amidon (g/100 g)	Fibres alimentaires (g/100 g)	Polyols totaux (g/100 g)	Cendres (g/100 g)	Alcool (g/100 g)	Acides organiques (g/100 g)	AG saturés (g/100 g)	AG monoinsaturés (g/100 g)	AG polyinsaturés (g/100 g)	AG 4:0, butyrique (g/100 g)	AG 6:0, caproïque (g/100 g)	AG 8:0, caprylique (g/100 g)	AG 10:0, caprique (g/100 g)	AG 12:0, laurique (g/100 g)	AG 14:0, myristique (g/100 g)	AG 16:0, palmitique (g/100 g)	AG 18:0, stéarique (g/100 g)	AG 18:1 9c (n-9), oléique (g/100 g)	AG 18:2 9c,12c (n-6), linoléique (g/100 g)	AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100 g)	AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100 g)	AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100 g)	AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100 g)	Cholestérol (mg/100 g)	Sel chlorure de sodium (g/100 g)	Calcium (mg/100 g)	Chlorure (mg/100 g)	Cuivre (mg/100 g)	Fer (mg/100 g)	Iode (µg/100 g)	Magnésium (mg/100 g)	Manganèse (mg/100 g)	Phosphore (mg/100 g)	Potassium (mg/100 g)	Sélénium (µg/100 g)	Sodium (mg/100 g)	Zinc (mg/100 g)	Rétinol (µg/100 g)	Beta-Carotène (µg/100 g)	Vitamine D (µg/100 g)	Vitamine E (mg/100 g)	Vitamine K1 (µg/100 g)	Vitamine K2 (µg/100 g)	Vitamine C (mg/100 g)	Vitamine B1 ou Thiamine (mg/100 g)	Vitamine B2 ou Riboflavine (mg/100 g)	Vitamine B3 ou PP ou Niacine (mg/100 g)	Vitamine B5 ou Acide pantothénique (mg/100 g)	Vitamine B6 (mg/100 g)	Vitamine B9 ou Folates totaux (µg/100 g)	Vitamine B12 (µg/100 g)
00	0000	000000				24999	Dessert (aliment moyen)						45,4	4,63	4,61	36,6	12,9	23,7	1,81		2,18	1,89	1,07	15,7	9,53	1,54		0,92	0,081	0,083	5,18	4,74	1,68	0,14	0,19	0,083	0,14	0,35	0,55	2,47	0,99	4,62	1,32	0,37	0,012	0,0041	0,0051	56,7	0,38	75	178	0,15	1,45	11	23,8	0,23	107	181	7,04	153	0,5	56,3	34,6	0,27	1,97			1,37	0,084	0,15	0,61	0,4	0,056	30,8	0,21
01	0101	000000	entrées et plats composés	salades composées et crudités	-	25601	Salade de thon et légumes, appertisée		-	-	-	-	76,5	9,15	9,15	7,74	4,7	3,08	0,82	-	0,78	-	< 0,3	0,97	4,1	2,7	-	1,79	0	-	0,56	1,83	1,76	< 0,05	< 0,05	< 0,05	< 0,05	< 0,05	0,008	0,38	0,12	-	1,15	0,056	-	0,008	0,039	19,2	1,11	20,7	731	0,1	1,1	2	25,1	0,1	88,4	232	-	445	0,6	< 2	-	< 0,5	1,6	-	-	2,75	< 0,04	0,053	4,45	< 0,16	0,29	31	1,45
01	0101	000000	entrées et plats composés	salades composées et crudités	-	25602	Salade composée avec viande ou poisson, appertisée		-	-	-	-	76,7	8,06	8,06	6,4	5,3	1,9	0,7	-	0,6	< 0,2	< 0,2	0,6	3,3	2	-	1,5	0	-	0,16	3,27	1,54	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	0,12	0,04	2,24	1,08	0,28	0,016	0,016	0,15	15,2	0,95	22	584	0,07	0,7	< 20	20	0,1	92	220	30	381	0,38	< 21	781	0,44	2,04	9,75	-	-	0,032	0,022	4,13	0,2	0,12	11,1	1,23
01	0101	000000	entrées et plats composés	salades composées et crudités	-	25605	Champignons à la grecque, appertisés		-	-	-	-	85,2	2,08	2,08	3,95	3,55	2,38	0,7	-	1	< 0,3	< 0,3	0,3	0,99	2,35	-	1,65	0	-	0,23	0,2	1,67	-	-	-	-	-	-	-	-	-	-	0,026	-	-	-	0,11	1,26	27	-	0,17	1,06	2,46	13,5	0,13	64,1	277	1,79	500	0,4	0	747	0	1,08	-	-	6,67	0,056	0,21	1,84	0,88	0,088	19,6	0,018
01	0101	000000	entrées et plats composés	salades composées et crudités	-	25606	Salade de pommes de terre, fait maison		-	-	-	-	76	2,68	2,68	9,9	8,2	-	-	-	-	-	-	-	-	1,3	-	1,95	0	-	1,43	2,48	3,74	-	-	-	0	0,011	0,013	1,03	0,37	-	-	-	-	-	-	68	1,32	19	-	0,12	0,65	-	15	0,1	52	254	-	529	0,31	29	36	0	-	-	-	10	0,077	0,06	0,89	0,53	0,14	7	0
01	0101	000000	entrées et plats composés	salades composées et crudités	-	25608	Taboulé ou Salade de couscous, préemballé		753	179	753	179	60,3	4,88	4,88	23,7	6,7	4,9	2	< 0,2	1,5	< 0,2	1,4	< 0,2	17,7	2,5	0,9	1,52	0	0,38	0,67	4,23	1,45	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	0,47	0,15	3,95	1,1	0,34	< 0,01	< 0,01	< 0,01	0,1	1	24	647	0,16	0,88	< 20	25	0,4	80	210	< 20	399	0,65	0	149	0	1,26	10,6	-	6,27	0,087	0,024	0,5	0,26	0,052	14,5	0
01	0101	000000	entrées et plats composés	salades composées et crudités	-	25609	Salade de pomme de terre à la piémontaise, préemballée		542	130	542	130	75,8	4,5	4,5	8,87	8,3	1,2	0,5	< 0,2	0,7	< 0,2	< 0,2	< 0,2	6	< 0,5	< 0,5	1,74	0	0,54	0,82	5,02	2,04	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	0,01	0,54	0,2	4,57	1,47	0,57	< 0,01	< 0,01	< 0,01	29,6	1,08	13	709	0,07	0,43	< 20	16	0,08	72	300	< 20	433	0,49	< 21	93,6	0,5	3,96	10,9	-	21,6	0,08	0,049	0,98	0,44	0,099	21,6	-
01	0101	000000	entrées et plats composés	salades composées et crudités	-	25614	Salade de riz, appertisée		-	-	-	-	72,5	5,13	5,13	16,1	4,35	1	-	-	-	-	-	-	14,3	1,7	-	1,49	0	-	0,53	2,23	-	-	-	-	-	0,0042	0,0083	0,36	0,12	2,23	1,05	0,2	-	-	0,013	6,5	1,1	23,3	-	< 0,1	0,43	< 5	13,1	0,1	66,6	143	17,7	431	0,3	< 2	34	< 0,5	1,63	-	-	4,48	0,058	0,045	2,65	0,14	0,13	33,5	0,43
01	0101	000000	entrées et plats composés	salades composées et crudités	-	25615	Salade de pâtes, végétarienne		-	-	-	-	72,6	5,7	5,7	13,7	8,1	2,3	0,6	0	0,6	0	0,1	0,8	10	1,7	-	1,18	0	-	2,37	1,46	3,92	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	1,04	14	86	0,06	0,6	4	11	0,2	37	84	-	51	0,4	7	1180	0	1,95	-	-	21	0,04	0,02	0,4	0	0,09	16	0
01	0101	000000	entrées et plats composés	salades composées et crudités	-	25616	Crudité, sans assaisonnement (aliment moyen)		125	29,9	125	29,9	93,2	0,94	0,94	3,07	0,7	2,27	1,12		1,02	0,085	0,085	0,58	0,22	1,51	0,29	0,69	0	0,094	0,12	0,29	0,095	0,0041	0,0041	0,0041	0,0041	0,0041	0,0037	0,12	0,0074	0,21	0,078	0,017	0,0043	0,0041	0,0041	0,076	0,031	25,1	44,9	0,048	0,42	7,21	11,7	0,17	25,6	241	7,79	12,5	0,17	0,017	1930	0,093	0,34	24		12,2	0,042	0,025	0,37	0,17	0,082	38,8	0
01	0101	000000	entrées et plats composés	salades composées et crudités	-	25619	Salade de pâtes aux légumes, avec poisson ou viande, préemballée		-	-	-	-	70,5	5,19	5,19	14	9,94	2,16	1,04	-	0,86	-	< 0,28	0,26	7,92	1,98	-	1,4	0	-	1,74	5,85	1,91	-	-	-	-	-	-	-	-	-	-	-	-	0,0023	0,0098	11,3	0,95	19	492	0,085	0,95	3,13	23,3	0,15	69,4	193	5,3	378	0,53	11	494	0,12	1,18	-	-	12,3	0,064	0,057	1,77	0,28	0,14	18,4	0,14
01	0101	000000	entrées et plats composés	salades composées et crudités	-	25626	Macédoine de légumes en salade, avec sauce, préemballée		-	-	-	-	78,3	2,81	2,81	7	9,3	2,3	< 0,3	-	< 0,3	< 0,3	< 0,3	1,5	-	4,11	-	1,47	0	-	0,7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,04	-	-	-	-	-	-	-	-	-	-	426	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
01	0101	000000	entrées et plats composés	salades composées et crudités	-	25628	Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée		-	-	-	-	71,8	8,13	8,13	4,88	10	1,71	0,6	-	0,51	< 0,2	0,6	< 0,2	3,17	2	-	1,54	0	1,66	2,36	4,99	2,09	0,08	0,05	0,03	0,06	0,08	0,26	1,26	0,41	4,6	1,7	0,39	< 0,01	< 0,01	< 0,01	40,7	0,75	100	483	0,11	0,5	< 20	19	0,15	150	300	< 20	301	0,69	27,9	627	< 0,25	2,24	32	-	1,11	0,096	0,068	2,29	0,47	0,094	29,3	0,48
01	0101	000000	entrées et plats composés	salades composées et crudités	-	25629	Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée		704	168	699	167	65,5	3,79	4,06	17,4	8,3	4,61	0,99	< 0,1	1,9	< 0,1	1,72	< 0,1	9,9	3,3	traces	1,32	0	0,35	0,92	3,95	3,04	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	0,01	0,58	0,24	3,71	2,79	0,25	< 0,01	< 0,01	< 0,01	-	0,77	37	484	0,16	1,2	< 20	46	0,62	110	140	< 20	309	0,77	-	611	< 0,25	2,67	10	-	< 0,5	0,071	< 0,01	0,18	0,27	0,059	22,1	-
01	0101	000000	entrées et plats composés	salades composées et crudités	-	26257	Carottes râpées, avec sauce, préemballées		-	-	-	-	84,7	0,98	0,98	6,01	5	5,2	0,54	-	0,77	< 0,2	< 0,23	3,2	-	3,64	-	1,3	0	-	0,43	2,53	1,82	-	-	-	-	-	-	-	-	-	0,97	0,24	-	-	-	-	0,67	31	-	-	-	-	-	-	-	-	-	264	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
01	0101	000000	entrées et plats composés	salades composées et crudités	-	26258	Salade de betterave, avec sauce, préemballée		-	-	-	-	83,5	1,29	1,29	7,45	4,94	5,3	0,46	-	0,5	0,051	< 0,1	4,29	-	2,66	-	1,34	0	-	0,37	1,79	1,9	-	-	-	0,12	-	-	-	-	-	-	-	-	-	-	-	0,7	21	-	-	4	-	-	-	-	-	-	280	-	-	-	-	-	-	-	5	-	-	-	-	-	-	-
01	0101	000000	entrées et plats composés	salades composées et crudités	-	26259	Salade de chou ou Coleslaw, avec sauce, préemballée		435	105	435	105	80,4	0,94	0,94	5,78	8,1	4,72	0,85	-	1,06	< 0,2	< 0,2	2,82	< 0,35	3	1,06	1,45	0	0,34	0,63	4,83	2,2	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	0,01	0,41	0,13	4,39	1,54	0,66	< 0,01	< 0,01	< 0,01	-	0,88	39	556	0,03	1,3	< 20	9,3	0,26	29	210	< 20	353	0,27	-	1340	< 0,25	2,21	23	-	21,6	0,026	< 0,01	< 0,1	0,21	0,093	14,6	-
01	0101	000000	entrées et plats composés	salades composées et crudités	-	26260	Salade de concombre à la crème/fromage blanc, préemballée		-	-	-	-	-	1,1	1,1	1,97	11,3	1,39	-	-	-	-	-	-	-	1,48	-	1,07	0	-	1,35	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,07	-	-	-	-	-	-	-	-	-	-	411	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
01	0101	000000	entrées et plats composés	salades composées et crudités	-	26261	Salade de lentilles et saucisse fumée, préemballée		-	-	-	-	-	7	7	8,9	11,8	0,9	-	-	-	-	-	-	-	3,6	-	0,89	0	-	0,9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,89	-	-	-	-	-	-	-	-	-	-	355	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
01	0101	000000	entrées et plats composés	salades composées et crudités	-	26262	Salade grecque, avec sauce, préemballée		-	-	-	-	-	2	2	1,4	7,1	1,4	-	-	-	-	-	-	-	2	-	1,04	0	-	2,7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,04	-	-	-	-	-	-	-	-	-	-	416	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
01	0101	000000	entrées et plats composés	salades composées et crudités	-	26263	Salade de riz à la niçoise, avec sauce, préemballée		-	-	-	-	73,7	4,45	4,45	15,8	6,08	1,35	0,5	-	0,48	-	< 0,3	0,38	-	1,5	-	1,46	0	-	0,63	2,51	0,97	-	-	-	-	-	-	-	-	-	0,64	0,3	-	-	-	-	0,76	-	-	-	-	-	-	-	-	-	-	300	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
01	0101	000000	entrées et plats composés	salades composées et crudités	-	26269	Taboulé ou Salade de couscous au poulet, préemballé		-	-	-	-	62,6	6,4	6,4	20,6	7,45	2,48	0,8	-	0,8	< 0,2	0,7	< 0,2	16,6	2,02	-	1,59	0	-	0,86	3,78	1,75	< 0,01	< 0,01	< 0,01	< 0,01	0,02	0,02	0,57	0,15	3,78	1,33	0,42	< 0,01	< 0,01	< 0,01	8,24	1,05	18	661	0,1	0,8	< 20	24	0,32	100	190	< 20	424	0,65	< 21	135	< 0,25	1,48	3,22	-	< 0,5	0,14	0,045	1,16	0,4	0,096	96,5	0,1
01	0102	000000	entrées et plats composés	soupes	-	25900	Soupe aux lentilles, préemballée à réchauffer		232	55	232	55	85,8	3,74	3,74	6,6	1,12	0,7	-	-	-	-	-	-	-	1,8	0	1,24	0	traces	0,45	0,52	0,13	-	-	-	0	0	0,02	0,27	0,16	-	-	-	-	-	-	3	0,36	25	-	0,17	1,07	4	19	0,24	74	144	16,1	143	0,61	0	430	-	0	-	-	1,7	0,07	0,045	0,55	0,14	0,09	20	0,12
01	0102	000000	entrées et plats composés	soupes	-	25901	Soupe à la volaille et aux légumes, préemballée à réchauffer		129	30,8	129	30,8	-	3,09	3,09	2,6	0,8	1,2	-	-	-	-	-	-	-	0,4	0	1,75	0	traces	0,3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,75	-	-	-	-	-	-	-	-	-	-	700	-	-	-	-	-	-	-	-	-	-	1,9	-	-	-	0,11
01	0102	000000	entrées et plats composés	soupes	-	25903	Soupe aux légumes variés, préemballée à réchauffer		165	39,4	165	39,4	90,2	0,76	0,76	5,05	1,56	1,72	0,29	-	0,29	< 0,2	< 0,2	1,15	2,2	1,1	0	1	0	traces	0,55	0,5	0,11	0,026	0,017	0,0086	0,017	0,026	0,077	0,28	0,094	0,44	0,1	0,0063	< 0,01	< 0,01	< 0,01	3,7	0,69	14	442	0,02	0,14	< 20	5,3	0,04	19	110	< 20	275	0,11	< 21	1710	0	0,62	2,53	-	5,75	0,29	0,062	0,31	0,33	0,16	39,8	0,052
01	0102	000000	entrées et plats composés	soupes	-	25904	Soupe de poissons et / ou crustacés, préemballée à réchauffer		179	42,8	179	42,8	89,4	3,45	3,45	2,88	1,79	0,9	0,3	-	0,3	0,3	< 0,2	< 0,2	1,7	0,69	0	1,66	0	traces	0,58	0,93	0,25	0,01	< 0,01	< 0,01	0,01	0,01	0,07	0,29	0,08	0,71	0,13	0,035	< 0,01	0,035	0,053	30	0,86	130	611	0,07	0,61	70	11	0,05	80	110	< 20	343	0,25	59,8	446	< 0,2	0,32	0,93	-	< 0,5	0,03	0,039	0,63	0,18	0,032	< 5	1,35
01	0102	000000	entrées et plats composés	soupes	-	25905	Soupe aux légumes variés, déshydratée reconstituée		144	34,5	144	34,5	90,9	0,86	0,86	4,43	1,22	1,07	< 0,2	-	< 0,2	0,2	< 0,2	0,7	2,6	1,16	0	1,02	0	traces	0,39	0,45	0,091	0,0045	< 0,01	< 0,01	< 0,01	0,009	0,023	0,3	0,05	0,45	0,081	0,01	< 0,01	< 0,01	< 0,01	2,12	0,69	21	426	0,03	0,19	1	7	0,05	12,5	60	< 20	276	0,12	< 21	261	0	0,19	2,42	-	3,28	0,05	0,24	0,13	0,12	0,044	8,4	0,029
01	0102	000000	entrées et plats composés	soupes	-	25907	Soupe aux poireaux et pommes de terre, préemballée à réchauffer		155	37,1	155	37,1	90,8	0,79	0,79	4,46	1,51	0,81	0,2	-	0,3	0,2	< 0,2	< 0,2	3,2	1,28	0	0,97	0	traces	0,6	0,53	0,27	0,032	0,019	0,013	0,025	0,032	0,089	0,28	0,1	0,53	0,18	0,09	< 0,01	< 0,01	< 0,01	4,73	0,73	16	450	0,02	0,17	< 20	5,6	0,04	16	94	< 20	290	0,13	< 21	120	-	0,28	9,13	-	7,95	0,01	0,03	0,23	0,14	0,23	29,3	0,045
01	0102	000000	entrées et plats composés	soupes	-	25908	Soupe à la volaille et aux vermicelles, préemballée à réchauffer		129	30,8	129	30,8	93,8	1,3	1,3	3,86	1	0,77	-	-	-	-	-	-	-	0,56	0	1,01	0	traces	0,49	0,29	0,18	0	0	0	0	0,001	0,005	0,2	0,053	-	-	-	-	0	0	5	0,82	7,96	-	0,069	0,14	0,5	7,93	0,057	17	30,5	< 10	326	0,1	1	119	0	0,03	0	-	-	0,055	0,045	0,54	0,074	0,02	2	0,02
01	0102	000000	entrées et plats composés	soupes	-	25909	Bouillon de viande et légumes type pot-au-feu, prêt à consommer		19,9	4,8	19,9	4,8	98,1	0,2	0,2	0,1	0,4	0	-	-	-	-	-	-	0,1	0	0	1,09	0	traces	0,2	0,09	0,05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	1,08	1	-	0	0,1	-	2	0,01	1	15	0	430	-	0	-	-	-	-	-	0	0,06	0,01	0	0,02	0,01	12	0,05
01	0102	000000	entrées et plats composés	soupes	-	25910	Soupe à l'oignon, préemballée à réchauffer		169	40,4	169	40,4	92,7	1,35	1,35	4,93	1,4	1,5	-	-	-	-	-	-	-	1,34	0	1,27	0	traces	0,55	-	0,26	0	0	0	-	0	0	0,069	0,034	-	-	-	-	0	0	0	0,79	12	-	0,054	0,27	-	1	0,098	4	28	-	315	0,25	1	1	0	0,11	0,2	-	0,5	0,013	0,01	0,24	0	0,02	6	0
01	0102	000000	entrées et plats composés	soupes	-	25912	Soupe aux champignons, préemballée à réchauffer		201	48,2	201	48,2	92	0,81	0,81	4,09	3,07	0,91	-	-	-	-	-	-	-	0,52	0	1	0	traces	1,58	0,4	0,96	0,014	0,011	0,0087	0,022	0,024	0,092	0,68	0,15	0,4	0,31	0,01	-	0	0	3,3	0,78	7	490	0,016	0,09	8,4	2	0,018	12	62	-	312	0,06	5,5	0	0,1	0,24	9,6	-	-	0,006	0,008	0,17	0,072	0,007	1	0
01	0102	000000	entrées et plats composés	soupes	-	25913	Soupe à la carotte, préemballée à réchauffer		139	33,2	139	33,2	91,2	0,61	0,61	3,89	1,41	1,82	-	-	-	-	-	-	2,08	1,22	0	1,05	0	traces	0,96	0,36	0,029	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,65	15	-	-	0,3	-	7	-	20	140	-	259	-	4	3500	-	-	-	-	11	0,05	-	0,65	-	0,08	9	-
01	0102	000000	entrées et plats composés	soupes	-	25914	Soupe à la tomate, préemballée à réchauffer		163	38,7	163	38,7	90,3	0,74	0,74	6,27	0,99	2,95	0,9	-	0,8	< 0,2	< 0,2	1,2	1,8	0,88	0	0,98	0	traces	0,36	0,29	0,3	0,016	0,0079	< 0,01	0,0079	0,016	0,055	0,2	0,063	0,28	0,15	0,02	< 0,01	< 0,01	< 0,01	2,9	0,64	11	416	0,03	0,14	< 20	5,9	0,04	15	130	< 20	259	0,08	< 21	1680	0,6	0,69	1,01	-	6,4	0,01	0,056	0,58	0,2	0,2	23,8	0,01
01	0102	000000	entrées et plats composés	soupes	-	25915	Soupe chorba frik, à base de viande et de frik		263	62,9	263	62,9	85,1	3,75	3,75	5,4	2,5	0,9	-	-	-	-	-	-	3,9	1,9	0	1,2	0	traces	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	0,84	19	-	0,07	0,97	2	17	0,31	54	157	1,4	337	0,84	4,4	172	0,02	0,6	-	-	3,2	0,03	0,04	0,96	0,18	0,07	16	0,11
01	0102	000000	entrées et plats composés	soupes	-	25916	Soupe minestrone, préemballée à réchauffer		204	48,8	204	48,8	89,4	1,2	1,2	5,6	2	1,7	-	-	-	-	-	-	-	1,8	0	1	0	traces	0,6	0,34	0,29	0,03	0,02	0,01	0,02	0,03	0,05	0,2	0,095	-	-	-	-	0	0	1,5	0,75	33,3	460	0,11	0,56	1	12,5	0,11	34,5	106	< 2,2	300	0,19	0	885	0	0,67	3,2	-	1,25	0,023	0,034	0,44	0,22	0,071	10	0
01	0102	000000	entrées et plats composés	soupes	-	25917	Soupe au pistou, déshydratée reconstituée		128	30,4	128	30,4	89,4	1,2	1,2	5,2	0,35	1,2	-	-	-	-	-	-	4	0,8	0	1,08	0	traces	< 0,2	0,23	0,06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0,64	19	-	0,1	0,4	1	14	0,1	24	132	2,2	256	0,19	0	900	-	0,2	-	-	7	-	-	-	-	0,07	18	-
01	0102	000000	entrées et plats composés	soupes	-	25919	Soupe de poissons et / ou crustacés, déshydratée reconstituée		122	29	122	29	90,6	0,91	0,91	5,09	0,5	1,06	-	-	-	-	-	-	-	0,21	0	1,15	0	traces	0,14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,63	-	-	-	-	-	-	-	0	0,01	-	253	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
01	0102	000000	entrées et plats composés	soupes	-	25923	Soupe asiatique, avec pâtes, déshydratée reconstituée		126	29,8	126	29,8	93,3	0,97	0,97	5,25	0,44	1,21	-	-	-	-	-	-	-	0,49	0	0,96	0	traces	0,17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,84	-	-	-	-	-	-	-	-	37,8	-	334	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
01	0102	000000	entrées et plats composés	soupes	-	25924	Soupe marocaine, déshydratée reconstituée		145	34,3	145	34,3	90	1,2	1,2	5,77	0,55	1,49	-	-	-	-	-	-	-	0,72	0	1,08	0	traces	0,23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,8	-	-	-	-	-	-	-	-	80,5	-	318	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
01	0102	000000	entrées et plats composés	soupes	-	25925	Soupe aux poireaux et pommes de terre, déshydratée reconstituée		110	26,1	110	26,1	92,8	0,63	0,63	4,84	0,41	0,91	-	-	-	-	-	-	-	0,28	0	0,8	0	traces	0,2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,72	-	417	-	-	-	-	-	0,013	0,023	-	292	-	10	90	-	-	-	-	30	0,07	-	0,8	0,27	-	-	-
01	0102	000000	entrées et plats composés	soupes	-	25928	Soupe à la volaille et aux légumes, déshydratée reconstituée		115	27,3	115	27,3	-	0,99	0,99	4,58	0,44	0,55	-	-	-	-	-	-	-	0,51	0	0,73	0	traces	0,17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,73	-	-	-	-	-	-	-	-	-	-	292	-	-	-	-	-	-	-	3	-	-	-	-	0,03	8	-
01	0102	000000	entrées et plats composés	soupes	-	25930	Bouillon de boeuf, déshydraté reconstitué		38,3	9,05	38,3	9,05	97,6	0,6	0,6	1,33	0,15	0,33	-	-	-	-	-	-	0	0	0	1,03	0	traces	0,057	0,068	0,0072	0	0	0	-	0,00067	0,0048	0,03	0,021	0,068	0,0072	0	-	0	0	0	0,74	5,25	-	0,041	0,15	-	2	0,027	0,01	0,01	0	290	0,048	0	0	0	0,01	0	-	0	0,0029	0,015	0,55	0,016	0,0083	1,75	0,065
01	0102	000000	entrées et plats composés	soupes	-	25932	Soupe aux asperges, déshydratée reconstituée		148	35,3	148	35,3	90,8	0,6	0,6	5,14	1,31	0,99	-	-	-	-	-	-	2,8	0,28	0	0,91	0	traces	0,73	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,76	-	-	-	-	-	-	-	0,015	0,035	-	303	-	-	-	-	-	-	-	-	-	-	-	-	-	10	-
01	0102	000000	entrées et plats composés	soupes	-	25933	Soupe à la tomate et aux vermicelles, préemballée à réchauffer		158	37,7	158	37,7	-	1,1	1,1	5,87	0,8	3,43	-	-	-	-	-	-	-	1,3	0	0,77	0	traces	0,5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,77	-	-	-	-	-	-	-	-	-	-	307	-	-	-	-	-	-	-	20	-	-	-	-	-	-	-
01	0102	000000	entrées et plats composés	soupes	-	25934	Soupe aux céréales et aux légumes, déshydratée reconstituée		201	47,8	201	47,8	90	1,4	1,4	6,8	1,4	1,2	-	-	-	-	-	-	-	1,2	0	1,04	0	traces	0,8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,78	12,5	-	-	0,29	-	9,35	-	-	94	-	312	-	-	-	-	-	-	-	3,84	0,04	-	0,47	-	0,07	16,8	-
01	0102	000000	entrées et plats composés	soupes	-	25935	Soupe à la tomate, déshydratée reconstituée		152	36,2	152	36,2	90,4	0,76	0,76	5,79	0,97	2,44	0,49	-	0,68	< 0,2	0,29	0,98	2,4	0,64	0	1,03	0	traces	0,32	0,41	0,16	< 0,01	< 0,01	< 0,01	0,0041	0,0041	0,017	0,26	0,033	0,41	0,15	0,01	< 0,01	< 0,01	< 0,01	2,02	0,69	11	417	0,03	0,14	< 20	5	0,04	10	65	< 20	278	0,1	< 21	147	-	0,25	1,33	-	< 0,5	0,02	0,017	0,46	0,064	0,027	6,85	0,14
01	0102	000000	entrées et plats composés	soupes	-	25936	Soupe aux champignons, déshydratée reconstituée		158	37,8	158	37,8	91,3	0,65	0,65	4,37	1,79	0,63	< 0,2	-	< 0,2	0,2	< 0,2	< 0,2	2,3	0,82	0	1,06	0	traces	0,73	0,6	0,15	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	0,017	0,66	0,058	0,6	0,15	< 0,01	< 0,01	< 0,01	< 0,01	0,87	0,79	10	512	0,02	0,02	< 20	2,5	0,03	9,51	48	< 20	311	0,07	< 21	14,7	< 0,25	0,24	< 0,8	-	< 0,5	0,03	0,034	0,37	0,16	0,033	8,25	0,028
01	0102	000000	entrées et plats composés	soupes	-	25942	Soupe à l'oignon, déshydratée reconstituée		101	24	101	24	94,1	0,58	0,58	4,37	0,4	1,3	-	-	-	-	-	-	-	0,31	0	1,03	0	traces	0,23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,79	20	517	0,043	-	1	5,26	0,043	0,01	56,7	< 3,35	318	0,083	-	-	-	-	-	-	-	-	-	-	-	-	-	-
