Schvaľovacie číslo / Approval number,Nazov / Name,Mesto / Town,"Okres /
District",Kraj / Region,"Kategória,
činnost /
Category","Pridružené
činnosti /
Associated
activities","Druhy /
Species","Poznámky /
Remarks"
4038,"Mäso Melek, s.r.o., Melek 231, 952 01 Melek",Melek,Nitra,Nitriansky,SH,"CP, CS, PP","B, C, O, P, S","mp,  rafg,
st"
8071,"Mäso ZEMPLÍN, a.s.",Michalovce,Michalovce,Košický,SH,"CP, CS, PP","B, P","mp, rafg"
2013,"MÄSOCENTRUM, s.r.o.",Dolný Štál,"Dunajská
Streda",Trnavský,SH,"CP, PP",P,"mp, rafg"
2023,"MINIMETRO, s.r.o.",Malá Mača,Galanta,Trnavský,SH,"CP, CS",B,
4041,MIRAN s.r.o.,Šurany,Nové Zámky,Nitriansky,SH,"CP, CS, PP",P,st
7032,"MIROND, spol. s r.o. Kežmarok",Kežmarok,Kežmarok,Prešovský,SH,"CP, CS, PP","B, O","mp, rafg"
5076,"MiroslavKubicaMÄSO-UDENINY,Bitúnok,
mäsová výroba",Zákamenné,Námestovo,Žilinský,SH,"CP, CS, PP","B, O","mp,  rafg,"
4033L,"Národnépoľnohospodárskeapotravinárske
centrum",Lužianky,Nitra,Nitriansky,SH,"CP, CS","B, C, O, P",
20213L,NH FARMA s.r.o.,Čierny Brod,Galanta,Trnavský,SH,"CP, CS",P,
4051,NOURUS - MÄSO s.r.o.,Tešedíkovo,Šaľa,Nitriansky,SH,CS,P,
70714L,"Ovčia farma Proč, s.r.o.-Bitúnok a rozrábka dvor
Podhorany",Podhorany,Prešov,Prešovský,SH,CP,"B, C, O, P",
4015L,P.K.S. AGRO FARM s.r.o.,Búč,Komárno,Nitriansky,SH,"CP, CS",P,
1083,Pavol Šišolák,Gajary,Malacky,Bratislavský,SH,"CP, PP","B, P","mp, rafg"
8067L,"PD  Čečejovce,  družstvo,  Bitúnok  na  zabíjanie
domácich kopytníkov s malým objemom výroby",Čečejovce,"Košice-
okolie",Košický,SH,"CP, CS",B,
8061L,"PD Klatov, a.s.",Nižný Klátov,"Košice-
okolie",Košický,SH,"CP, CS","B, O",
3054,PEERFECTLY s. r. o.,Partizánske,Partizánske,Trenčiansky,SH,"CP, CS",B,
7102,"POĽANA-podielníckedružstvoJarabina,
Mäsiarstvo Jarabina",Jarabina,"Stará
Ľubovňa",Prešovský,SH,"CP, PP","B, C, O, P","mp,  rafg,
st"
8102,"Poľnohospodárske družstvo ""Čingov"" Smižany","Spišské
Tomášovce","Spišská
Nová Ves",Košický,SH,"CP, CS, PP","B, O, P","mp,  rafg,
st"
3044L,"Poľnohospodárske družstvo Bošáca, Bitúnok",Bošáca,"Nové  Mesto
n.Váhom",Trenčiansky,SH,"CP, CS","B, P",
7077,"Poľnohospodárske družstvo Branisko v Širokom,
Mäsovýroba Hrabkov",Hrabkov,Prešov,Prešovský,SH,"CP, CS","B, C, O, P",
2035,Poľnohospodárske družstvo Hlohovec,Hlohovec,Hlohovec,Trnavský,SH,"CP, CS, PP","B, P","mp, rafg"
2041,Poľnohospodárske družstvo Chtelnica,Chtelnica,Piešťany,Trnavský,SH,"CP, CS, PP","B, P","mp, rafg"
5052,"Poľnohospodárske  družstvo  Lisková  -  Sliače,
družstvo",Lisková,Ružomberok,Žilinský,SH,"CP, CS, PP","B, C, O, P, S","mp, rafg"
7067L,Poľnohospodárske družstvo Mlynica,Mlynica,Poprad,Prešovský,SH,"CP, CS","B, P",
4073L,"Poľnohospodárske  družstvo  Neverice,  bitúnok
Velčice",Velčice,"Zlaté
Moravce",Nitriansky,SH,"CP, CS","B, O, P",
7066L,"Poľnohospodárskedružstvopodielnikovv
Spišskej Teplici","Spišská
Teplica",Poprad,Prešovský,SH,"CP, CS","B, P",
2055,Poľnohospodárske družstvo Senica,Senica,Senica,Trnavský,SH,CS,"B, P",
5101,Poľnohospodárske družstvo Trsteník,Trstená,Tvrdošín,Žilinský,SH,"CP, CS","B, O, P",
3056L,Poľnohospodárske družstvo v Chynoranoch,Chynorany,Partizánske,Trenčiansky,SH,CS,P,
7016L,"Poľnohospodárskepodielnickédružstvo
Bardejov, Bitúnok a rozrábka Gaboltov",Gaboltov,Bardejov,Prešovský,SH,"CP, CS","B, P",
7068L,"Poľnohospodárskepodielnickédružstvo
Liptovská Teplička","Liptovská
Teplička",Poprad,Prešovský,SH,"CP, CS","B, O",
8062L,"Poľnohospodárske  výrobno-obchodné  družstvo
Mokrance",Mokrance,"Košice-
okolie",Košický,SH,"CP, CS","B, P",
2032,"QUAMREX s. r. o., bitúnok Hlohovec",Hlohovec,Hlohovec,Trnavský,SH,"CS, PP","B, P",st
4034L,"REFKA, s.r.o., bitúnok Mojmírovce",Mojmírovce,Nitra,Nitriansky,SH,"CP, CS","B, P",
8065L,"RenéPavlík,SHR,Bitúnoknazabíjanie
domácich kopytníkov s malým objemom výroby",Nováčany,"Košice-
okolie",Košický,SH,"CP, CS","B, O",
4072L,Roľnícke družstvo Tekovské Nemce,"Tekovské
Nemce","Zlaté
Moravce",Nitriansky,SH,"CP, CS, GHE",B,
7132L,"Roľnícko - obchodné družstvo Ďurďoš, Bitúnok a
rozrábka - Hospodársky dvor Vlača",Vlača,"Vranovnad
Topľou",Prešovský,SH,"CP, CS","B, P",
7101,SEPP trade. s.r.o.,Stará Ľubovňa,"Stará
Ľubovňa",Prešovský,SH,"CP,CS,PP,
RW","B, C, O, P","mp,  rafg,
st"
7121,SORBEL s.r.o.,Stročín,Svidník,Prešovský,SH,CS,"B, P",
6133L,"SPOL AGRO POČÚVADLO, s.r.o.",Počúvadlo,"Banská
Štiavnica",Banskobystrický,SH,"CP, CS",B,
8101,"Stanica výkrmnosti a jatočnej hodnoty ošípaných,
s.r.o.",Spišské Vlachy,"Spišská
Nová Ves",Košický,SH,"CP, CS, PP",P,"mp, rafg"
3031,SVAMAN spol. s r.o.,Myjava,Myjava,Trenčiansky,SH,"CP, CS, PP","B, C, O, P, S","rafg,  bl,
st"
6043L,"Svojpomocné družstvo jednotlivo hospodáriacich
roľníkovvHriňovej,bitúnok,rozrábkareň,
Hriňová - Zánemecká","Hriňová-
Zánemecká",Detva,Banskobystrický,SH,"CP, CS",B,
8114L,"Školskýpoľnohospodárskypodnikn.o.
Zemplínska Teplica, Bitúnok UVLF","Zemplínska
Teplica",Trebišov,Košický,SH,"CP, CS","B, C, O, P",
8064L,"TERRAMARK,  s.  r.  o.,  Bitúnok  na  zabíjanie
domácich kopytníkov s malým objemom výroby",Buzica,"Košice-
okolie",Košický,SH,"CP, CS",B,
5025L,"TIMEA, s.r.o.",Olešná,Čadca,Žilinský,SH,CP,"B, O, P",
51116,"TURIEC-AGRO s.r.o., Bitúnok Babkov","Lietavská
Lúčka",Žilina,Žilinský,SH,CS,B,
6091,"Ústavnavýkontrestuodňatiaslobody
Želiezovce, bitúnok Sabová","Rimavská
Sobota","Rimavská
Sobota",Banskobystrický,SH,,"B, O, P",
3077,"VJARSPOL, s.r.o.","Nitrianske
Pravno",Prievidza,Trenčiansky,SH,"CP, PP","B, O, P","mp, rafg"
3055L,"Vladimír Hamara - SHR, Salaš Cibajky",Janova Ves,Partizánske,Trenčiansky,SH,CS,"C, O, P",
4017L,Zalán Csizmadia - ZALIWAY,Tôň,Komárno,Nitriansky,SH,"CP, CS","C, O, P",
4042,"Združenie agropodnikateľov, družstvo","Dvorynad
Žitavou",Nové Zámky,Nitriansky,SH,CS,"B, P",
40513L,"ZOO  Divízia,  s.  r.  o.,  Malokapacitný  bitúnok,
farma Južné stredisko",Selice,Šaľa,Nitriansky,SH,CS,"B, P",
7062,Zuzana Debreová,Svit,Poprad,Prešovský,SH,"CP, CS","B, O",
4046,„Eko” bitúnok a rozrábkareň,Salka,Nové Zámky,Nitriansky,CP,"CS, PP, SH","B, P","mp, rafg"
8068L,"AGRO -  MOLD akciová spoločnosť, Bitúnok na
zabíjaniedomácichkopytníkovsmalým
objemom výroby","Debraď,časť
Hatiny","Košice-
okolie",Košický,CP,"CP, CS,  GHE,
SH","B, O, P",
8068,"AGRO-MOLD,akciováspoločnosť,
Minimäsovýroba Debraď",Debraď,"Košice-
okolie",Košický,CP,"CP, CS",DU,
5031,"AGRO MÚTNE, s. r. o., Bitúnok Beňadovo",Beňadovo,Námestovo,Žilinský,CP,"CS, SH","B, O",
2044,"AGROBAK, spol. s.r.o.",Drahovce,Piešťany,Trnavský,CP,"CS, PP, SH",DU,"mp, rafg"
6119L,"Agrobell  s.  r.  o.,  bitúnok,  rozrábkareň,  farma
Ležiak",Sliač,Zvolen,Banskobystrický,CP,"CS, SH","B, O, P",
3086,"AGROFARMA,  spol.  s  r.o.,  Rozrábanie  mäsa
kopytníkov",Púchov,Púchov,Trenčiansky,CP,CS,"B, O, P",
7107,"AGRO-HNIEZDNE,s.r.o.,prevádzkareň
Hospodársky dvor Forbasy",Forbasy,"Stará
Ľubovňa",Prešovský,CP,"CS, PP, SH","B, C, O, P","mp, rafg"
6064,"AGRO-IPEĽ, spol. s r.o.",Holiša,Lučenec,Banskobystrický,CP,"CS,  GHE,  PP,
SH","B, O, P",
5057L,"AGRONOVA EKO, s.r.o.",Bobrovník,"Liptovský
Mikuláš",Žilinský,CP,SH,"B, P",
30716L,"AGROPRODUKT SLOVAKIA, a.s.",Ráztočno,Prievidza,Trenčiansky,CP,"CS, SH",B,
6092,"AGROTRADE, spol. s r.o.",Veľký Blh,"Rimavská
Sobota",Banskobystrický,CP,"CP,CS,MP,
PP",DU,mp
7035L,"AGROZAMI, spol. s r.o.",Tvarožná,Kežmarok,Prešovský,CP,"CS, SH","B, P",
2022,AH&MH s.r.o.,Sládkovičovo,Galanta,Trnavský,CP,"CS, PP",DU,
7020,"ALTHAN, s.r.o.",Humenné,Humenné,Prešovský,CP,"CS, PP",DU,
2028,Alžbeta Ladovičová,Váhovce,Galanta,Trnavský,CP,PP,DU,"mp, rafg"
1086,Alžbeta Matoková - ALMAT,Závod,Malacky,Bratislavský,CP,"CS, PP, SH",DU,"mp, rafg"
7022L,"Anna Kondrátová – SHR, Bitúnok a rozrábkareň",Víťazovce,Humenné,Prešovský,CP,"CS, SH",B,
7084,Anton Gargalik,Sabinov,Sabinov,Prešovský,CP,"CS, PP",DU,"mp, rafg"
7082,"Anton Kollár, Mäsovýroba Tony",Jarovnice,Sabinov,Prešovský,CP,"CS, PP",DU,mp
5077,Anton Skurčák,"Oravská
Polhora",Námestovo,Žilinský,CP,"CS,  MM,  MP,
PP","B, P","mp, rafg"
1081,Arpád Albert Bitúnok Senec,Senec,Senec,Bratislavský,CP,"PP, SH","B, P",mp
2012,Arpád Bognár Mäso údeniny,Nový život,"Dunajská
Streda",Trnavský,CP,PP,"B, P","mp, rafg"
6082L,"AT AGROTURIEC, spol. s r.o.",Skerešovo,Revúca,Banskobystrický,CP,"CS, SH","B, O, P",
51110,"ATLANTA Žilina 1992, s. r. o.",Žilina,Žilina,Žilinský,CP,"CS, MP, PP",DU,"mp, rafg"
5084,"Autocar  Ťažné  zariadenie  s.  r.  o.,  Rozrábka  a
výroba mäsových výrobkov u Ňaňa",Ivachnová,Ružomberok,Žilinský,CP,"CS, GHE, PP",DU,"mp, rafg"
5078,"BARTOŠ Pavol, s.r.o., Bitúnok",Lokca,Námestovo,Žilinský,CP,"CS, SH",DU,
3062,"BARTOŠEK s. r. o., Veľkoobchod predaja mäsa","Považská
Bystrica","Považská
Bystrica",Trenčiansky,CP,"CP, CS",DU,
1060,"Berto sk, s. r. o.","Vysokápri
Morave",Malacky,Bratislavský,CP,"CS,  MM,  MP,
PP, RW","B, P",mp
3066,"Biely potok, a. s.",Tŕstie,"Považská
Bystrica",Trenčiansky,CP,"CP, CS,  GHE,
MP, PP",B,mp
7069L,BIOFARMA ŠUŇAVA PD,Šuňava,Poprad,Prešovský,CP,"CS, SH",B,
51113L,Biofarma Turie a. s.,Turie,Žilina,Žilinský,CP,"CS, SH",B,
70710,BIT STEK s. r. o.,Terňa,Prešov,Prešovský,CP,"CS, PP",DU,"mp, rafg"
7105L,Bitúnok a rozrábkareň farma Lomnička,Podolínec,"Stará
Ľubovňa",Prešovský,CP,"CP, CS, SH","B, C, O, P",
5083L,"Bitúnokarozrábkareň,Poľnohospodárske
družstvo Liptovské Revúce","Liptovské
Revúce",Ružomberok,Žilinský,CP,"CS, SH",O,
3022,Bitúnok Bolešov,Bolešov,Ilava,Trenčiansky,CP,"CS, SH","B, P",
5027,"Bitúnok Čadca, s.r.o.",Čadca,Čadca,Žilinský,CP,"CP,  CS,  MM,
MP,PP,RW,
SH","B, O, P","mp, rafg"
4037L,"bitúnok Experimentálneho centra hospodárskych
zvierat SPÚ Nitra",Nitra,Nitra,Nitriansky,CP,"CS, SH","B, O, P",
3064L,"Bitúnok PD Dolná Mariková, farma Hatné","Dolná
Mariková","Považská
Bystrica",Trenčiansky,CP,"CS, SH","B, P",
50512L,Bitúnok s rozrábkou PD Važec,Važec,"Liptovský
Mikuláš",Žilinský,CP,"CS, SH","B, O",
8111,"BRUTUS, s.r.o., Trebišov",Trebišov,Trebišov,Košický,CP,"CS,MP,PP,
SH","B, O, P","mp, rafg"
6041,"Bystriansky, s.r.o.",Detva,Detva,Banskobystrický,CP,"CS, PP",DU,"mp, rafg"
612,CIMBAĽÁK s.r.o.,Bardejov,Bardejov,Prešovský,CP,"CS,  MM,  MP,
PP","B, P",mp
2057,"COOP Jednota Senica, spotrebné družstvo",Jablonica,Senica,Trnavský,CP,"CS, PP",DU,"mp, rafg"
3050,"COOP Jednota Topoľčany, spotrebné družstvo",Chynorany,Partizánske,Trenčiansky,CP,"CS, PP",DU,"mp, rafg"
8052,"DALTON, spol. s r.o.",Košice,Košice,Košický,CP,"CS,  MM,  MP,
PP, RW, SH","B, P","mp, rafg"
624,DANUBIUS spol. s r.o.,Komárno,Komárno,Nitriansky,CP,"CS,  PP,RW,
SH","B, P","mp,  rafg,
st"
1041,DELIKATES – Imrich Jurišta,Bratislava,Bratislava 4,Bratislavský,CP,"CP, CS, PP",DU,"mp, rafg"
6103L,"Dobrá úroda, s.r.o., Bitúnok",Dačov Lom,Veľký Krtíš,Banskobystrický,CP,"CP, CS,  GHE,
SH",B,
20113,"DUNA-HÚS, s.r.o.",Šamorín,"Dunajská
Streda",Trnavský,CP,"CS, PP","B, P","mp, rafg"
7034L,DUNAJEC s.r.o.,"SpišskáStará
Ves",Kežmarok,Prešovský,CP,"CS, SH","B, O, P",
5086,"Dušan Jánošík, Rozrábka a sklad mäsa",Ružomberok,Ružomberok,Žilinský,CP,CS,"B, O, P",
6053L,"Eishken  Estate  Slovakia,  spol.  s  r.o.,  bitúnok,
rozrábkareň",Cerovo,Krupina,Banskobystrický,CP,"CS, SH",B,
3052L,EK-FARM s. r. o.,"Žabokreky nad
Nitrou",Partizánske,Trenčiansky,CP,"CS, SH","B, C, O, P",
6134L,"EKO-Produkt, s.r.o.","Kremnické
Bane","Žiarnad
Hronom",Banskobystrický,CP,"CS, PP, SH","B, P","mp, rafg"
3065L,"EKORAJ  Ďurďové,  s.r.o.,  Bitúnok  pre  hovädzí
dobytok a rozrábanie mäsa, farma Ďurďové",Ďurďové,"Považská
Bystrica",Trenčiansky,CP,"CS, SH",B,
20510L,"Emil Krajčík Agro, s. r. o.",Prietrž,Senica,Trnavský,CP,"CS, SH",B,
8051,"ERIK, s.r.o.",Košice,Košice,Košický,CP,"CS,  MM,  MP,
PP, RW","B, P","mp, rafg"
1065,"EuroGen, spol. s r.o.","Plavecké
Podhradie",Malacky,Bratislavský,CP,"CP,  CS,  MM,
MP, PP","B, P",mp
3095,"FALCO, s.r.o.",Trenčín,Trenčín,Trenčiansky,CP,"CS, PP, RW","A, DU","mp, rafg"
7015L,"FARMAAGRO-Dúbravas.r.o.,Bitúnoka
rozrábka Tročany",Tročany,Bardejov,Prešovský,CP,"CS, SH","B, P",
5092,"FARMA Zliechov, spol. s r.o.",Bodorová,"Turčianské
Teplice",Žilinský,CP,"CS, PP",DU,"mp, rafg"
2014,FEJES OTTO A SYN s.r.o.,"Blatnána
Ostrove","Dunajská
Streda",Trnavský,CP,"CS, PP, SH","B, P","mp, rafg"
3085L,"FISH&AGROfarma,s.r.o.,Rozrábkamäsa
kopytníkov",Púchov,Púchov,Trenčiansky,CP,CS,"B, P",
30713L,FORBART s.r.o.,Prievidza,Prievidza,Trenčiansky,CP,"CS, SH",B,
2036,František Lukáčik Mäso údeniny-potraviny,Leopoldov,Hlohovec,Trnavský,CP,"CS, PP",DU,"mp, rafg"
8103,František Marton,Krompachy,"Spišská
Nová Ves",Košický,CP,"CS, PP",DU,"mp, rafg"
8081,"GET group, s.r.o.",Rožňava,Rožňava,Košický,CP,"CS, MP, PP","B, O, P","mp, rafg"
1063L,"GGH, s. r. o.",Kuchyňa,Malacky,Bratislavský,CP,"CS, MM, SH",B,
8069,"Globaltrading Slovakia, s. r. o.",Rozhanovce,"Košice-
okolie",Košický,CP,"CP,CS,MP,
MSM, RW",DU,
7104,"GSL - SK, s.r.o.",Stará Ľubovňa,"Stará
Ľubovňa",Prešovský,CP,"CP, CS, PP","B, O, P","mp, rafg"
6114,"Gurman - ZV s. r. o.,",Breziny,Zvolen,Banskobystrický,CP,"CS, PP, RW",DU,"mp, rafg"
7021,"GVP, spol. s r.o. Humenné",Humenné,Humenné,Prešovský,CP,"CP,CS,MP,
PP, RW",DU,"mp, rafg"
5024,"hamsal, s.r.o.",Čadca,Čadca,Žilinský,CP,"CP, CS, PP","A, DU, wU","mp, rafg"
621,HÔRKA s.r.o.,"Trenčianska
Teplá",Trenčín,Trenčiansky,CP,"CS, MP, PP","B, P","mp, rafg"
4035L,"HSH-V spol. s r. o., farma Dubina",Veľké Zálužie,Nitra,Nitriansky,CP,"CS, SH",B,
70713,HURKA s.r.o.,Prešov,Prešov,Prešovský,CP,"MM, MP, PP",DU,"mp, rafg"
7037,"HYDINASKs.r.o.,Rozrábkareňmäsa
domácich kopytníkov",Kežmarok,Kežmarok,Prešovský,CP,"CS,  MM,  MP,
RW","B, O, P",
4065,Igor Božik IB mäso,Vozokany,Topoľčany,Nitriansky,CP,"CS, MM, PP",DU,"mp, rafg"
2025,Ildikó Mikócziová Mäso– hydina Mikóczy,Jelka,Galanta,Trnavský,CP,,"B, P",
2029,Imrich Forró,Váhovce,Galanta,Trnavský,CP,PP,DU,"mp, rafg"
1066L,Ing. Barbora Dunárová,Veľké Leváre,Malacky,Bratislavský,CP,"CS, SH","B, C, O",
61111,"Ing. Peter Badiar - BONUM, bitúnok, rozrábkareň",Budča,Zvolen,Banskobystrický,CP,"CS,  MM,  MP,
SH",B,
628,Ing. Peter Ertel Mäsovýroba Koš,Koš,Prievidza,Trenčiansky,CP,PP,"B, P",mp
8010,Ing. Stanislav Marcinek,Gelnica,Gelnica,Košický,CP,"CS,  MM,  PP,
SH","B, P","st,mp,
rafg"
26,ISTERMEAT a.s.,"Dunajská
Streda","Dunajská
Streda",Trnavský,CP,"CP,  CS,  MM,
MP, PP, SH","B, P","rafg,  st,
mp"
3092,"Jakub Ilavský, s. r. o.",Trenčín,Trenčín,Trenčiansky,CP,"CS,MP,PP,
RW","A, B, P","mp, rafg"
6101,Ján Drugda,Veľký Krtíš,Veľký Krtíš,Banskobystrický,CP,"MP, PP",DU,"rafg,mp"
7131L,Ján Tkáč - AGROGARANT,"Hermanovce
nad Topľou","Vranovnad
Topľou",Prešovský,CP,"CS, SH","B, C, O, P",
7124,Ján Varga – MÄSO ESO,Stropkov,Stropkov,Prešovský,CP,"CS, PP",DU,"mp, rafg"
4068L,"Jaromír  Okša,  SHR,  Bitúnok  pre  príležitostnú
porážku a rozrábkareň",Tvrdomestice,Topoľčany,Nitriansky,CP,"CS, SH",O,
3079,"Jaroslav Páleš Mäsovýroba „Zlatý býk""",Bojnice,Prievidza,Trenčiansky,CP,"CS, PP","B, C, O, P","mp, rafg"
7076,Jaroslav Petruš - Kropet,Veľký Šariš,Prešov,Prešovský,CP,"CS, PP",DU,"mp, rafg"
613,"JINEX, s.r.o.",Žilina,Žilina,Žilinský,CP,"CS, MP, PP",DU,"mp, rafg"
7106L,"Jozef  Dziak,  Bitúnok,  rozrábkareň  a  predaj  z
dvora na farme Vislanka",Vislanka,"Stará
Ľubovňa",Prešovský,CP,"CS, SH","B, C, G, O, P",
5118,Jozef Machciník MAJOVEY,Žilina - Bánová,Žilina,Žilinský,CP,"CS, PP",DU,"mp, rafg"
3045,Jumäs Trade s. r. o.,"NovéMesto
nad Váhom","Nové  Mesto
n.Váhom",Trenčiansky,CP,"CP,CS,MP,
PP, RW","B, C, O, P, S","mp, rafg"
4055,K&T mäso spol. s r. o.,Tešedíkovo,Šaľa,Nitriansky,CP,"CS, PP",DU,"mp, rafg"
5033,Karol Svetlák,Klin,Námestovo,Žilinský,CP,CS,DU,
51112,KMK-BITÚNOK RAJEC s.r.o.,Rajec,Žilina,Žilinský,CP,CS,P,
6052,"KoMeat, spol. s r. o.",Krupina,Krupina,Banskobystrický,CP,"CP, CS, SH","B, O",
3096,"Lacnea Slovakia, s. r. o.",Trenčín,Trenčín,Trenčiansky,CP,"CS,MP,PP,
RW","B, P","mp, rafg"
