code;name;street;city;postalcode;lat;lng
FI 201 EC;Atria Suomi Oy / Atria Finland Ltd;Atriantie 1;Seinäjoki;60550;62.8417513;22.9572916
FI 205 EC;HKFoods Finland Oy Euran laitos;Kariniementie 2;Eura;27510;61.1402057;22.1804704
FI 206 EC;Länsi-Kalkkuna Oy;Säkyläntie 120;Säkylä;27800;61.0637419;22.3263584
FI 2063 EC;Lihatukkuliike Lihakas Oy;Kivikonkierto 5;Hyvinkää;05460;60.6097522;24.8785501
FI 2064 EC;Kartanon Riista Oy;Kytäjäntie 846;Hyvinkää;05720;60.6128448;24.7289429
FI 212 EC;Jussi LJK Oyj/ Finnwild;Nerkkoonniementie 1111;Lapinlahti;74100;63.3659410;27.3907106
FI 213-1 EC;T:mi Roinilan Karjatila;Petäisenpääntie 150;Kangasniemi;51430;61.9638905;26.8922229
FI 215 EC;Naapurin Maalaiskana Oy;Tiemestarintie 6;Lieto;21360;60.5711531;22.4285347
FI 216 EC;HKFoods Finland Oy;Lakarinkatu 27;Rauma;26510;61.1561257;21.5871034
FI 22 EC;Atria Suomi Oy / Atria Finland Ltd;Atriantie 1;Seinäjoki;60550;62.8417513;22.9572916
FI 22 EC;Atria Suomi Oy;Atriantie 1;Nurmo;60550;62.8417513;22.9572916
FI 22002 EC;Brändö Lax;;Åva;22940;60.4586348;21.0767154
FI 22003 EC;Ab Chipsters Food Oy;Karlbergsvägen 7;Åland;22100;60.1256938;19.9487545
FI 22003 EC;Ab Chipsters Food Oy;Karlbergsvägen 7;Mariehamn;22100;60.1256938;19.9487545
FI 22006 EC;Enklinge Fiskprodukter;;Enklinge;22830;60.3439813;20.7656555
FI 22010 EC;M.A.T Fish Ab;Flisövägen 204;Föglö;22710;60.0099760;20.3468180
FI 22012 EC;Storfjärdens Fisk Ab;Käringsundsvägen 118;Eckerö;22270;60.2282971;19.5497014
FI 22014 EC;Lasses Fisk;Mjökbackavägen;Föglö;22710;60.0107325;20.4246997
FI 22020 EC;Storfjärdens Fisk Ab;Torpvägen 114;Eckerö;22270;60.2015000;19.5716937
FI 22023 EC;Nordic Trout Ab;Fiskehamnsvägen 10;Föglö;22710;60.0107325;20.4246997
FI 22029 EC;Fiskkojan;Fiskehamnsvägen 17;Mariehamn;22100;60.1024230;19.9412600
FI 22030 EC;Nima Ab;Västansundabyaväg 143;Gottby;22130;60.1304124;19.8232778
FI 22031 EC;Fina fisken Åland Ab;Lövdalsvägen 1;Jomala;22150;60.1316437;19.9378202
FI 22032 EC;Woivalin Jan-Henrik;Ämnäsgatan 44;Godby;22410;60.2073953;19.9735695
FI 22033 EC;Fifax Ab;Industrivägen 115;Eckerö;22270;60.2076259;19.5582606
FI 22034 EC;Carelian Caviar Marketing Ab;Fågelvägen 30;Hammarland;22240;60.1990138;19.7391312
FI 22035 EC;Fiskefartyget LindaMari Kb;Brinkgränd 33;Hammarland;22240;60.1956366;19.7816651
FI 22035 EC;Fiskefartyget LindaMari Kb;Brinkgränd 33;Åland;22240;60.1956366;19.7816651
FI 2223 EC;Saamelaisalueen koulutuskeskus;Toivoniementie 290;Inari;99910;69.1045879;27.1350355
FI 2224 EC;Sevetin Kiela;Sevettijärventie 9011 a;Ivalo;99800;68.6588185;27.5348114
FI 2225 EC;NorDeli Oy;Sevettijärventie 12206;Inari;99940;69.6644027;29.1040817
FI 2235 EC;Viltgården Oy;Mariebergintie 110;Inkoo;10210;60.0254737;23.8734410
FI 2237 EC;Liha Lehtinen Oy;Västankvarnintie 468;Inkoo;10230;60.0762853;23.8789703
FI 224-1 EC;Kiven Tilateurastamo;Uusitilantie 65;Karkkila;03600;60.4907707;24.1994312
FI 2291 EC;Kotileipomo Viipukka Oy;Harjunraitti 17;Joensuu;81280;62.9137467;30.2530816
FI 232-2 EC;Kauhajoen Palvaamo Oy;Rapakontie 12;Kauhajoki;61850;62.4466581;22.1971713
FI 232-3 EC;Rantalan Liha;Vuorenmäentie 264;Kauhajoki;61800;62.4129334;22.1186419
FI 232-4 EC;Kometos Mobile-teurastamo;Keskustie 23;Kauhajoki;61800;62.4593925;22.2012090
FI 233-1 EC;Domretor Oy;Leipomonkuja 6;Kauhava;62200;63.1082553;23.0720428
FI 2380 EC;Puljonki Oy;Vepsänjoentie 10;Juuka;83900;63.2473046;29.2426332
FI 2407 EC;Tmi Seppo T. Halonen;Ukonvuorentie 121 B;Juva;51760;61.7713979;27.6596505
FI 243-1 EC;Kimito Gårdsslakteri /Greger Gustafsson;Hörnvägen 22;Kemiönsaari;25700;60.1575732;22.6425648
FI 2511 EC;Karisalmen Kotiliha;Karisalmentie 59;Jämsä;42100;61.8637802;25.1897493
FI 2530 EC;Wursti Oy;Puurtajankatu 3;Järvenpää;04440;60.5007279;25.0772497
FI 2531 EC;Wok Wok Herkku Ruoka Oy;Wärtsilänkatu 61;Järvenpää;04440;60.4972134;25.0681292
FI 2532 EC;Phoom Thai Oy;Sibeliuksenkatu 15;Järvenpää;04400;60.4727446;25.0892675
FI 26 EC;Atria Suomi Oy / Atria Finland Ltd;Suluntie 1;Jyväskylä;40340;62.2711074;25.8134895
FI 261-2 EC;Levi Food Oy;Pakatintie 371;Kittilä;99100;67.6758982;24.9114489
FI 261-3 EC;Arcti Food Oy;Ounasjoentie 5367;Kittilä;99340;68.1546665;24.1979781
FI 261-4 EC;NiliReindeer Oy;Pakatintie 371;Kittilä;99100;67.6758982;24.9114489
FI 2611 EC;Finnsoy Oy;Autoilijankatu 7;Kaarina;20780;60.4207368;22.3758807
FI 263-1 EC;Remeskylän Kotiliha;Remesjoentie 430;Kiuruvesi;74940;63.7810166;26.3689912
FI 2710 EC;Resta-Menu Oy;Lentolantie 32;Kangasala;36620;61.4750084;23.9859829
FI 2710 EC;Resta-Menu Oy;Lentolantietie 32;Kangasala;36620;61.4715042;24.3261795
FI 2711 EC;Sausages Finland Oy;Kolmihaarankatu 9 C 1;Tampere;33330;61.5032243;23.5832640
FI 272-1 EC;Kokkolan Ammattiopisto;Närvilänkatu 8;Kokkola;67100;63.8366561;23.1576889
FI 2750 EC;Roinilan Aromiliha Oy;Lastutie 3;Kangasniemi;51200;62.0082724;26.6424636
FI 2760 EC;Huhtahyvät Oy;Santamaankatu 2;Kankaanpää;38700;61.8146698;22.3999553
FI 2807 EC;Päntäneen Metsästysseura ry;;Kauhajoki;;62.4317480;22.1841988
FI 2815 EC;DoBa Liha Oy;Knuuttilanraitti 240;Kauhava;62310;63.2736254;22.8190093
FI 2843 EC;PoroLappi Oy;Sysimiehentie 14;Kemijärvi;98120;66.7244381;27.3724665
FI 2844 EC;Aihkiporo;Salmivaarantie 17 b;Salla;98660;66.8327250;28.4344155
FI 29 EC;Veljekset Rönkä Oy;Mahlatie 7;Kemi;94200;65.7784946;24.5554195
FI 2901 EC;Keminmaan Riistajalostus Oy;Pysäkkitie 74 B;Keminmaa;95319;65.8574283;24.5847535
FI 293-2 EC;Tenhon tilan tilateurastamo;Järventaustantie 563;Ulvila;29340;61.5388581;22.1089765
FI 2940 EC;Savuhovi Oy;Koivunoksa 9;Kerava;04200;60.4265040;25.1228424
FI 2943 EC;Milab Oy;Posliinitehtaankatu 12;Kerava;04260;60.3843936;25.1074270
FI 2944 EC;PNM-Chipsters Oy;Jäspilänkatu 29;Kerava;04260;60.3879960;25.1047279
FI 2950 EC;Paakarit Keri Hyvä Oy;Vanhanpappilantie 8;Kerimäki;58200;61.9183189;29.2759081
FI 2960 EC;Vaissi Oy / Ruokapakastetehdas;Riihontie 536 C;Keuruu;42800;62.2355817;24.4329248
FI 2990 EC;Bonus Carnis Oy;Myllypurontie 2;Kitee;59800;61.8196115;29.7382878
FI 3 EC;W.J. Dahlman Ab;PB 78;Maarianhamina;22100;60.1024230;19.9412600
FI 302 EC;Hirvassalmenvaaran poroteurastamo;Kittiläe;Inari;99800;68.9062456;27.0260771
FI 3030 EC;Feelia Oy;Asentajantie 10;Kokkola;67400;63.8258053;23.1581031
FI 3030 EC;Feelia Oy;Asentajantie 10;Kokkola;67600;63.8258053;23.1581031
FI 3040 EC;Kuivalihahäkit Risto Saukkoriipi;Nuottavaarantie 31;Kolari;95860;67.0935390;24.4401049
FI 305-1 EC;Kuusamon Liha- ja Pakkauspalvelu M. Määtttä;Eskontie 16;Kuusamo;93600;65.9860893;29.1904574
FI 3060 EC;Kotileipomo Riikonen Oy;Palokankaantie 1;Lehmo;80710;62.6761671;29.7860064
FI 3060 EC;Kotileipomo Riikonen Oy;Palokankaantie 1;Kontiolahti;80710;62.6761671;29.7860064
FI 3081 EC;Kotkan Lihamestarit Oy;Vasaratie 8 B;Kotka;48400;60.5011897;26.8606424
FI 3103 EC;Muhniemen lahtivaja;Ahviontie 260;Kouvola;46960;60.6748034;26.6903675
FI 3104 EC;Finnish Food Factory;Tiilitie 4;Kouvola;45200;60.8757023;26.7806467
FI 311 EC;Karigasniemen poroteurastamo;Ailikkaantie 284;Utsjoki;99800;69.9025546;27.0743682
FI 312 EC;Sodankylän poroteurastamo;Ivalontie 580;Sodankylä;99600;67.4814481;26.6045871
FI 314 EC;Sevettijärven poroteurastamo;Sevettijärventie 9700;Inari;99800;69.0673547;27.4455321
FI 315 EC;Angelin poroteurastamo;Angelintie;Inari;99870;68.9315464;26.8527094
FI 3152 EC;Savo-Karjalan Liha Oy;Pioneerinkatu 26;Kuopio;70800;62.8443926;27.5918227
FI 3153 EC;Eväsmiehet Oy;Kisällinkuja 18;Kuopio;70780;62.8661682;27.6203787
FI 3154 EC;Savo-Karjalan liha Oy;Naulakatu 2;Kuopio;70800;62.8207769;27.6092409
FI 3154 EC;Savo-Karjalan Liha Oy;Naulakatu 2;Kuopio;70800;62.8207769;27.6092409
FI 3155 EC;Anton & Anton Ruokatehdas;Satulasepänkatu 4;Kuopio;70700;62.8671404;27.6309449
FI 3156 EC;Leipomoliike Irene Partanen Oy;Inkilänmäenkatu 19;Kuopio;70340;62.9090307;27.6801065
FI 316 EC;Sallan poroteurastamo;Tuomiotie 13;Salla;98900;66.8150520;28.5854778
FI 317 EC;Kittilän poroteurastamo;Pakatintie 130;Kittilä;99100;67.6684905;24.9293231
FI 3170 EC;Kuusamon lihatuote Oy;Kaamostie 1;Kuusamo;93600;65.9568335;29.1418397
FI 3170 EC;Kuusamon Lihatuote Oy;Kaamostie 1;Kuusamo;93600;65.9568335;29.1418397
FI 318 EC;Vuomaselän poroteurastamo Oy;Teurastamontie 96;Sodankylä;99800;68.3067156;27.2864424
FI 319-1 EC;Lallin Lammas Oy;Mikolanlenkki 80;Köyliö;27730;61.1190832;22.3077749
FI 320 EC;Toivoniemen poroteurastamo;Toivoniementie 290;Inari;99910;69.1045879;27.1350355
FI 3200 EC;Perinnepalvi Kurkela Oy;Hähkäniementie 225;Kärkölä;16600;60.8626662;25.2400219
FI 321 EC;Ranuan poroteurastamo;Pudasjärventie;Ranua;97700;65.9235183;26.5082820
FI 322 EC;Osuuskunta Kuivaniemen Tilaliha;Lehtolantie 9;Ii;95130;65.3218756;25.3716223
FI 323 EC;Kemijärven poroteurastamo;Sysimiehentie 14;Kemijärvi;98120;66.7244381;27.3724665
FI 324 EC;Posion poroteurastamo;Kuusamontie 21 A;Posio;97900;66.1080437;28.1786917
FI 325 EC;Pudasjärven pienteurastamo;Jyrkkäkoskentie 13;Pudasjärvi;93100;65.3907152;26.9827029
FI 3252 EC;Liha Meronen;Sopenkorvenkatu 6;Lahti;15800;60.9789769;25.6323404
FI 3254 EC;Lihasampo Oy;Lekakatu 2;Lahti;15700;60.9335173;25.5913847
FI 326 EC;Kuusamon Poroteurastamo Oy;Revontulentie 17;Kuusamo;93600;65.9575352;29.1415200
FI 329 EC;Aavasaksan Poro;Varpumäki 8;Ylitornio;95600;66.2990246;23.6728351
FI 330 EC;Utsjoen Poroteurastamo;Skalluvaarantie;Utsjoki;99980;69.7998256;27.0948855
FI 331 EC;Lapin Poro ja Riista Oy;Nikkarinkuja 5;Rovaniemi;96910;66.5409230;25.7854019
FI 332663 EC;Lounasitu Oy;Häntelänkuja 15;LIETO;21360;60.5644926;22.4443092
FI 3561 EC;Säilyke  Herttua Oy;Hallitie 3;Uurainen;41230;62.4904556;25.4436123
FI 3610 EC;Pielisruoka Oy;Pokrontie 5;Lieksa;81720;63.2998095;30.0539505
FI 3630 EC;Dynameat Oy;Kiviniementie 21;Pöytyä;21900;60.9089735;22.4969209
FI 3631 EC;Landeli Group Oy;Länsi-Avantintie 8;Lieto;21420;60.4702986;22.3793080
FI 3680 EC;Karelian Lihajaloste Oy;Tehtaantie 2;Liperi;80400;62.6182037;29.5594261
FI 3681 EC;Kivikylän Kotipalvaamo Oy, Sooci;Ylämyllyntie 79e;Ylämylly;80400;62.6213572;29.5742710
FI 3681 EC;Kivikylän Kotipalvaamo Oy, Sooci;Ylämyllyntie 79e;Liperi;80400;62.6213572;29.5742710
FI 3681 EC;Kivikylän Kotipalvaamo Oy;Ylämyllyntie 79e;Ylämylly;80400;62.6213572;29.5742710
FI 3830 EC;Oy Eurofoods Ab;Ahlövägen 43 68555 Bosund;Luoto (Larsmo);68800;63.8333774;22.8615355
FI 3860 EC;Lihatukku Harri Tamminen Oy;Toikkalantie 5;Luumäki;54530;60.9646270;27.8352639
FI 3920 EC;Herrgårds köttrökeri Ab;Söderfjärdsvägen 14;Maalahti;66100;62.9737039;21.5691323
FI 398-6 EC;Päijät-Hämeen Lihatukku Oy;Sopenkorvenkatu 6;Lahti;15800;60.9789769;25.6323404
FI 40 EC;Oy Björkens Ab;Asentajantie 5;Kokkola;67600;63.8242913;23.1578251
FI 402-2 EC;Pekan Palvi Oy;Heinäjoentie 20;Lapinlahti;74520;63.4709624;27.3648415
FI 405-1 EC;Tilateurastamo Ikonen;Rikkiläntie 830;Lappeenranta;54330;60.8991101;28.1717631
FI 406-1 EC;Kivikylän Kotipalvaamo Oy;Savulaaksontie 121;Rauma;27230;61.1125084;21.7840054
FI 408-6 EC;Multinutrix Oy;Honkimetsäntie 27;Lapua;62100;62.9752805;23.0555726
FI 410-1 EC;Pohjoisahon Tila;Pohjoisahontie 392;Laukaa;41370;62.3943687;26.1815993
FI 4101 EC;HKFoods Finland Oy;UkkoPekkatie 1;Mikkeli;50600;61.6877823;27.2731918
FI 413-1 EC;Tourun tilateurastamo;Touruntie 27;Pori;38600;61.6249624;22.4050948
FI 4185 EC;Riistapaja;Yläneentie 175;Mynämäki;23100;60.6861657;21.9937287
FI 4201 EC;Piiras Kartano Oy;Laurintie 4;Mäntsälä;04600;60.6464068;25.3283854
FI 4220 EC;Fintermos Oy;Rautakatu 3;Naantali;21110;60.4776599;22.0537293
FI 426-1 EC;Lihakartano Juhani Tuomela;Riihilahdentie 9;Liperi;83100;62.5432913;29.4107736
FI 4261 EC;Seniori Ateria Oy;Putkikatu 23 B;Naantali;21110;60.4909989;22.0649370
FI 4262 EC;Mestarin Kebabit Naantali;Rantaruonankatu 2;Naantali;21100;60.4745715;22.0393380
FI 4350 EC;Totin Erä ry;Koivuniementie 200;Nokia;37310;61.3605363;23.3194801
FI 4352 EC;Valley Cong Oy, Golden Unicorn Nokia;Ilkantie 22;Nokia;37150;61.4904590;23.5324551
FI 4400 EC;Nurmeksen Filetuote Oy;Akkolansalmentie 19;Nurmes;75500;63.5422079;29.1410100
FI 4411 EC;Ketolan tilan Strutsiteurastamo;Korvenojantie 17;Nurmijärvi;05200;60.5037569;24.7826154
FI 442743 EC;Grodd-pojken;Långmossavägen 480;ÖVERMALAX;66140;62.9055426;21.5905545
FI 4490 EC;Kotivara Oy;Voudintie 7;Oulu;90400;64.9901952;25.4703019
FI 4492 EC;Kauppurin lounas ja pihvi Oy;Korpitie 10;Oulu;90650;65.0190141;25.5576601
FI 4525 EC;Suomen Lounastuote Oy;Tetriläntie 14;Oulu;90460;64.9403429;25.4331193
FI 4525 EC;Suomen Lounastuote Oy;Tetriläntie 14;Oulunsalo;90460;64.9403429;25.4331193
FI 4570 EC;Paimion Palaliha Oy;Lenkkitie 8;Paimio;21530;60.4333344;22.7160448
FI 4571 EC;Deli Hylé Oy;Yrittäjäntie 5;Paimio;21530;60.4417354;22.7048110
FI 4660 EC;Ab Tajma Oy;Företagarvägen;Pedersöre;68800;63.5407579;23.0452112
FI 4700 EC;Lapin Liha Oy;Pellontie 1;Pello;95700;66.7875308;23.9866056
FI 4740 EC;Keski-Pohjanmaan koulutusyhtymä/Perhon yksikkö;Haanentie 26;Perho;69950;63.2162436;24.4334060
FI 475-4 EC;Maalahden Liha Ay;Öjnavägen 118;Maalahti;66100;62.9377235;21.4825841
FI 4760 EC;Perniön 1930 Oy;Valimonkatu 4;Salo;24100;60.3848061;23.1173623
FI 4761 EC;Perniön Rullakebab tehdas Oy;Piisitie 3;Salo;24910;60.3842635;23.0354566
FI 4862 EC;My Food Oy;Ruususentie 9;Akaa;37830;61.2061031;23.7377751
FI 4871 EC;Oles Fast Food Oy Ab;Bärholmsvägen 13;Pietarsaari;68870;63.6744703;22.7055385
FI 4872 EC;Ab Korv-Görans Kebab Oy;Företagarvägen 24;Pietarsaari;68600;63.6744703;22.7055385
FI 4873 EC;Snellmanin Kokkikartano Oy;Kuusisaarentie 1;Pietarsaari;68600;63.6636065;22.7632788
FI 498-1 EC;Säilykekauppa.fi Muonio Oy;Pallaksentie 601;Muonio;99300;67.9480352;23.9965998
FI 5 EC;Liha Hietanen Oy;Pääkkösentie 59;Sastamala;38200;61.3164518;22.9465558
FI 503-1 EC;T:mi Palvi & Savupalvelu Heikkilä Oy;Valtakatu 32;Mynämäki;23100;60.6911561;21.9792091
FI 5040 EC;A.Ahlström Kiinteistöt Oy;Makkarakoskentie 65;Pori;29600;61.5929473;21.8841842
FI 507-2 EC;Kuvalan Liha Tmi;Kuvalanranta 5;Mäntyharju;52920;61.3042913;26.7917852
FI 5184 EC;T:mi Kaarelan Poro;Jyrkkäkoskentie 13;Pudasjärvi;93100;65.3907152;26.9827029
FI 5187 EC;Porojauru;Marikaisentie 544;Pudasjärvi;93100;65.2653470;27.0061177
FI 5200 EC;Torpparin liha;Männistöntie 17;Punkalaidun;37500;61.1157761;23.0993583
FI 5249 EC;Novisol Oy;Pölkkytie 2;Pyhäntä;92930;64.0962960;26.3316485
FI 5281 EC;Kylmäsäilö Turku Oy;Vahdontie 45;Turku;20320;60.4992735;22.2481285
FI 5290 EC;Kulman Keittiön tuotantolaitos (Turun Osuuskauppa);Purokatu 2;Raisio;21200;60.4798684;22.1586217
FI 5331 EC;Lapin Jaloste Oy;Teerivaarantie 2;Ranua;97665;66.1877457;27.0616639
FI 5351 EC;Suomisen Lihaherkku Oy;Lenkkitie 2;Rauma;26660;61.0980764;21.5466903
FI 5361 EC;Lapin Liha Oy;Ahjotie 9;Rovaniemi;96101;66.4908816;25.6480532
FI 5362 EC;Rovaniemen koulutuskuntayhtymä, Jänkätien toimintayksikkö;Jänkätie 1;Rovaniemi;96300;66.4855815;25.6769709
FI 5362 EC;Rovaniemen KoulutuskuntayhtymäJänkätien Toimintayksikkö;Jänkätie 1;Rovaniemi;96300;66.4855815;25.6769709
FI 5364 EC;Leivejoen Liha Oy;Selkäläntie 18;Rovaniemi;97140;66.2608175;25.1875511
FI 5366 EC;Lapin Krassi Oy;Myllärintie 36;Rovaniemi;96400;66.4881600;25.7684565
FI 5366 EC;Lapin Krassi Oy;Raidetie 1;Saarenkylä;96900;66.5201026;25.7729301
FI 537115 EC;Käännän Itu ja Elo Oy;Haantie 4;TYNKÄ;85140;64.1971689;24.0545326
FI 540-1 EC;Sarven Saunapalvi;Huhtamäentie 151;Nummi;09810;60.4199748;23.9488490
FI 545-2 EC;Övermark Köttrökeri;Kjällmosvägen 551;Närpiö;64610;62.4779756;21.3366760
FI 5455 EC;Fiskars Oyj Abp/Kiinteistöt;Fiskarsintie 18;Raasepori;10470;60.1288377;23.5412779
FI 5470 EC;Backbone Meat Co. Oy Ltd;Rentontie 7;Saarijärvi;43100;62.6874776;25.3074905
FI 5480 EC;Saarioinen Oy;Isoniementie 76;Kangasala;36420;61.4814260;24.3262382
FI 5480 EC;Saarioinen Oy;Isoniementie 76;Sahalahti;36420;61.4814260;24.3262382
FI 5490 EC;Maltiolan Jaloste Oy;Saijanlenkki 8 A;Salla;98950;67.0957499;28.8223867
FI 5530 EC;Tuote Savonlinna Oy;Ainonkatu 12;Savonlinna;57210;61.8648470;28.9202454
FI 5531 EC;Lörtsypojat oy;Ilokallionkatu 4;Savonlinna;57200;61.8698691;28.9212417
FI 5531 EC;Lörtsypojat Oy;Ilokallionkatu 4;Savonlinna;57200;61.8698691;28.9212417
FI 5543 EC;Nortulan Palvi & Paisti Oy;Poutunrannantie 409;Seinäjoki;61440;63.0313460;22.6313504
FI 5544 EC;Keittiö Alvariina;Trukkiväylä 12;Seinäjoki;60100;62.7743731;22.8982769
FI 5546 EC;Ravintola Juku  Oy;Kuormatie 3;Seinäjoki;60100;62.7849417;22.8707852
FI 5580 EC;Isokummun lammastila;Kukonkyläntie 633;Sievi;85410;63.9729650;24.2804784
FI 559-1 EC;Oravais Rökeri Ab;Ånäsvägen 9;Oravais;66800;63.3214818;22.3985148
FI 560-3 EC;Leipomo Matti Jussila Ky;Haapastentie 52;Orimattila;16300;60.8144230;25.6835900
FI 5661 EC;Snellmanin Kokkikartano Oy;Sementtitehtaankatu 7;Kerava;04260;60.3870703;25.1055392
FI 5661 EC;Snellmanin Kokkikartano Oy;Jäspilänkatu 27;Kerava;04250;60.3887820;25.1049971
