1,1,boissons,"boissons sans alcool","Jus de betterave","Beetroot juice, pure juice"
0002,0002,boissons,"boissons sans alcool","Jus de fruits rouges","Mixed red fruits juice, pure juice"
0003,0003,"fruits, légumes, légumineuses et oléagineux",fruits,"Coulis de fraise","Strawberry, coulis"
0004,0004,"fruits, légumes, légumineuses et oléagineux",fruits,"Coulis de framboise","Raspberry, coulis"
0005,0005,"viandes, œufs, poissons","autres produits à base de viande","Insecte (Mouche Soldat Noir)","Dried deffated black soldier fly protein"
1000,1000,boissons,"boisson alcoolisées",Pastis,"Pastis (anise-flavoured spirit)"
1001,1001,boissons,"boisson alcoolisées","Eau de vie","Clear fruit brandy or eau-de-vie"
1002,1002,boissons,"boisson alcoolisées",Gin,Gin
1003,1003,boissons,"boisson alcoolisées",Liqueur,Liqueur
1004,1004,boissons,"boisson alcoolisées",Rhum,Rum
1005,1005,boissons,"boisson alcoolisées",Whisky,Whisky
1006,1006,boissons,"boisson alcoolisées","Vin doux","Wine, white, sweet"
1007,1007,boissons,"boisson alcoolisées","Apéritif à base de vin ou vermouth","Wine-based aperitif"
1008,1008,boissons,"boisson alcoolisées",Vodka,Vodka
1012,1012,boissons,"boisson alcoolisées","Cocktail à base de rhum","Rum-based cocktail"
1013,1013,boissons,"boisson alcoolisées","Cocktail à base de whisky","Whiskey-based cocktail"
1014,1014,boissons,"boisson alcoolisées","Alcool pur","Pure alcohol"
1015,1015,boissons,"boisson alcoolisées",Marsala,"Marsala wine"
1017,1017,boissons,"boisson alcoolisées",Sangria,Sangria
1018,1018,boissons,"boisson alcoolisées","Kir (au vin blanc)","Kir (Cocktail of white wine with red fruit liqueur)"
1019,1019,boissons,"boisson alcoolisées","Kir royal (au champagne)","Champagne kir (Cocktail of champagne with red fruit liqueur)"
1021,1021,boissons,"boisson alcoolisées","Crème de cassis","Blackcurrant liqueur"
1022,1022,boissons,"boisson alcoolisées","Cocktail type punch, 16% alcool","Cocktail, punch type, 16% alcohol"
1023,1023,boissons,"boisson alcoolisées","Eau de vie de vin, type armagnac, cognac","Spirit made from wine, armagnac or cognac type"
1026,1026,boissons,"boisson alcoolisées","Saké ou Alcool de riz","Sake or rice wine"
1027,1027,"lait et produits laitiers",fromages,"Spécialité végétale type fromage à tartiner, au soja, préemballée","Plant-based spread-cheese type, with soybean, prepacked"
1029_1,1029,"lait et produits laitiers",fromages,"Spécialité végétale type fromage en tranche, sans soja, préemballée","Plant-based cheese, without soybean, prepacked, sliced"
1029_2,1029,"lait et produits laitiers",fromages,"Spécialité végétale type fromage râpé, sans soja, préemballée","Plant-based cheese, without soybean, prepacked, shredded"
1030,1030,"viandes, œufs, poissons","substituts de charcuterie","Spécialité végétale type jambon cuit, préemballée","Plant-based ham, prepacked"
2000,2000,boissons,"boissons sans alcool","Jus d'ananas, à base de concentré","Pineapple juice, reconstituted from a concentrate"
2002,2002,boissons,"boissons sans alcool","Jus multifruit, pur jus, multivitaminé","Mixed fruits juice, pure juice, multivitamin"
2006,2006,boissons,"boissons sans alcool","Jus de carotte, pur jus","Carrot juice, pure juice"
2008,2008,boissons,"boisson alcoolisées","Cocktail sans alcool (à base de jus de fruits et de sirop)","Cocktail, alcohol-free (juices and syrup-based cocktail)"
2011,2011,boissons,"boissons sans alcool","Jus multifruit - base orange, multivitaminé","Mixed fruits juice, orange based, multivitamin"
2012,2012,boissons,"boissons sans alcool","Jus d'orange, à base de concentré","Orange juice, reconstituted from a concentrate"
2013,2013,boissons,"boissons sans alcool","Jus d'orange, maison","Orange juice, home-made"
2016,2016,boissons,"boissons sans alcool","Jus de raisin, pur jus","Grape juice, pure juice"
2023,2023,boissons,"boissons sans alcool","Jus de mangue, frais","Mango juice, fresh"
2027,2027,boissons,"boissons sans alcool","Jus de pamplemousse (pomelo), pur jus","Grapefruit juice, pure juice"
2028,2028,boissons,"boissons sans alcool","Jus de citron, pur jus","Lemon juice, pure juice"
2035,2035,boissons,"boissons sans alcool","Jus multifruit, pur jus, standard","Mixed fruits juice, pure juice"
2043,2043,boissons,"boissons sans alcool","Nectar d'abricot","Apricot nectar"
2048,2048,boissons,"boissons sans alcool","Jus multifruit - base pomme, standard","Fruit juice, mixed - apple base, standard"
2053,2053,boissons,"boissons sans alcool","Jus de tomate, pur jus (aliment moyen)","Tomato juice, pure juice (average)"
2054,2054,boissons,"boissons sans alcool","Nectar de poire","Pear nectar"
2060,2060,boissons,"boissons sans alcool","Nectar multifruit, multivitaminé","Mixed fruits nectar, multivitamin"
2061,2061,boissons,"boissons sans alcool","Nectar multifruit, standard","Mixed fruits nectar"
2069,2069,boissons,"boissons sans alcool","Jus multifruit, à base de concentré, standard","Mixed fruits juice, reconstituted from a concentrate, multivitamin"
2073,2073,boissons,"boissons sans alcool","Jus d'ananas, pur jus","Pineapple juice, pure juice"
2074,2074,boissons,"boissons sans alcool","Jus de pomme, pur jus","Apple juice, pure juice"
2366,2366,boissons,"boissons sans alcool","Nectar de banane","Banana nectar"
2370,2370,boissons,"boissons sans alcool","Nectar de mangue","Mango nectar"
2371,2371,boissons,"boissons sans alcool","Nectar de pêche","Peach nectar"
2375,2375,boissons,"boissons sans alcool","Nectar d'orange","Orange nectar"
2500,2500,boissons,"boissons sans alcool",Smoothie,Smoothie
3000,3000,"aliments infantiles","laits et boissons infantiles","Lait 1er âge, poudre soluble (préparation pour nourrissons)","Baby milk, first age, powder, non rehydrated"
3002,3002,"aliments infantiles","laits et boissons infantiles","Lait 2e âge, poudre soluble (préparation de suite)","Baby milk, second age, powder, non rehydrated"
4000,4000,"fruits, légumes, légumineuses et oléagineux","pommes de terre et autres tubercules","Tapioca ou Perles du Japon, cru","Tapioca, raw"
4002,4002,"fruits, légumes, légumineuses et oléagineux","pommes de terre et autres tubercules","Pomme de terre, sans peau, cuite au four","Potato, peeled, baked"
4003,4003,"fruits, légumes, légumineuses et oléagineux","pommes de terre et autres tubercules","Pomme de terre, bouillie/cuite à l'eau","Potato, boiled/cooked in water"
4004,4004,"fruits, légumes, légumineuses et oléagineux","pommes de terre et autres tubercules","Chips de pommes de terre, standard","Potato crisps"
